Replicate	Sites Masked (%)	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
69	40	11	16	5	7	1.4	10	1.2
69	50	12	-60556	6	8	1.6	10	2
70	10	4	4	7	9	0.4	10	1.1
70	20	6	6	6	9	0.6	10	1.1
70	30	4.5	6	7	9	0.5	10	1.4
70	40	7.5	9	6	8	0.8	10	1.6
70	50	6.5	8	5	9	0.7	10	1.1
71	10	2.5	4	6	9	0.333333333	9	1.1
71	20	6.5	-58788	4	8	0.75	8	1.3
71	30	2.5	-58732	6	8	0.25	8	1.3
71	40	9.5	-58937	5	7	1.125	8	1.3
71	50	10	-59276	3	6	2.125	8	1.4
72	10	0	0	10	10	0	10	1
72	20	0	0	10	10	0	10	1
72	30	7	32	6	9	0.8	10	1.2
72	40	16.5	-60556	4	6	1.888888889	9	1.1
72	50	7	-63531	6	9	0.555555556	9	1.1
73	10	4	4	7	10	0.4	10	1.2
73	20	3	3	8	10	0.3	10	1.1
73	30	3	3	8	10	0.3	10	1.2
73	40	7.5	-63529	5	8	0.5	8	1
73	50	16.5	-63516	2	6	2.125	8	1.3
74	10	3.5	6	7	8	0.444444444	9	1.2
74	20	2.5	4	7	8	0.333333333	9	1.1
74	30	8	12	4	7	1	9	1.3
74	40	9	13	4	7	1.111111111	9	1
74	50	14.5	16	2	7	1.666666667	9	2
75	10	2	2	8	10	0.2	10	1
75	20	9.5	12	5	8	1.1	10	1.2
75	30	6.5	9	7	7	0.555555556	9	1
75	40	12.5	14	7	8	1.3	10	1.2
75	50	15	19	4	9	1.9	10	1.4
76	10	3.5	9	7	9	0.5	10	1.2
76	20	8.5	15	3	8	1	9	1.1
76	30	10	-59577	3	8	1.111111111	9	1.1
76	40	12	15	2	9	1.3	10	1.3
76	50	13	-59527	3	6	1.555555556	9	1.3
77	10	1	1	8	9	0.111111111	9	1
77	20	0	0	9	9	0	9	1
77	30	3	3	7	9	0.333333333	9	1.1
77	40	12.5	31	5	8	1.444444444	9	1.1
77	50	18.5	28	2	6	2.444444444	9	1.4
78	10	0	0	10	10	0	10	1
78	20	3	3	8	10	0.3	10	1
78	30	6.5	9	7	9	0.7	10	1
78	40	13.5	17	6	8	1.6	10	1.5
78	50	9	14	6	9	1.1	10	1.2
79	10	4	4	8	10	0.4	10	1
79	20	6.5	18	7	9	0.7	10	1.3
79	30	11	-58876	6	9	1.2	10	1.2
79	40	11	-59797	5	7	1.111111111	9	1.4
79	50	11	-59447	2	7	1.25	8	1.6
80	10	4.5	13	5	8	0.666666667	9	1.3
80	20	4.5	13	5	8	0.666666667	9	1.2
