Replicate	Systematic Errors	Sites	RFDist	MCDist	N1 Identical	N1 Overlap	Average (N1+N2-2)	Not at Root	Parsimony Optimal
21	9	1	6.5	13	5	10	1.3	10	1.1
21	9	2	11	29	3	10	2.9	10	1.2
21	10	1	6.5	13	5	10	1.3	10	1.1
21	10	2	14	47	3	10	4.8	10	1.1
22	1	1	1	2	9	9	0.2	10	1.1
22	1	2	5	11	6	9	1.1	10	1.1
22	2	1	1	2	9	9	0.2	10	1.1
22	2	2	5	11	6	9	1.1	10	1.1
22	3	1	1	2	9	9	0.2	10	1.1
22	3	2	5	11	6	9	1.1	10	1.1
22	4	1	1	2	9	9	0.2	10	1.1
22	4	2	6.5	14	4	9	1.4	10	1.1
22	5	1	1	2	9	9	0.2	10	1.1
22	5	2	8	18	3	10	1.8	10	1.1
22	6	1	1	2	9	9	0.2	10	1.1
22	6	2	8	18	3	10	1.8	10	1.1
22	7	1	1	2	9	9	0.2	10	1.2
22	7	2	12.5	30	3	10	3.2	10	1.3
22	8	1	2.5	5	7	9	0.5	10	1.1
22	8	2	20.5	90	1	10	9.3	10	1.2
22	9	1	2.5	5	7	9	0.5	10	1.2
22	9	2	20.5	90	1	10	9.3	10	1
22	10	1	5	11	6	9	1.1	10	1.1
22	10	2	20.5	90	1	10	9.3	10	1
23	1	1	0	0	9	9	0	9	1
23	1	2	3	6	5	9	0.6666666667	9	1.4
23	2	1	0	0	9	9	0	9	1
23	2	2	6.5	12	4	9	1.333333333	9	1.2
23	3	1	0	0	9	9	0	9	1
23	3	2	3	6	5	9	0.6666666667	9	1.2
23	4	1	0	0	9	9	0	9	1.1
23	4	2	7.5	12	3	9	1.333333333	9	1.1
23	5	1	0	0	9	9	0	9	1.1
23	5	2	7.5	12	3	9	1.333333333	9	1.1
23	6	1	1.5	3	7	9	0.3333333333	9	1
23	6	2	7.5	12	3	9	1.333333333	9	1.1
23	7	1	3	6	5	9	0.6666666667	9	1.1
23	7	2	13.5	-63510	2	9	3	9	1.2
23	8	1	3	6	5	9	0.6666666667	9	1
23	8	2	13.5	-63510	2	9	3	9	1
23	9	1	3	6	5	9	0.6666666667	9	1
23	9	2	16	-63504	1	9	3.666666667	9	1.2
23	10	1	3	6	5	9	0.6666666667	9	1.4
23	10	2	22	-63480	0	9	7.222222222	9	1.2
24	1	1	0	0	10	10	0	10	1
24	1	2	6	13	7	10	1.3	10	1
24	2	1	0	0	10	10	0	10	1
24	2	2	6	13	7	10	1.3	10	1
24	3	1	0	0	10	10	0	10	1
24	3	2	6	13	7	10	1.3	10	1
24	4	1	0	0	10	10	0	10	1
24	4	2	8.5	19	6	10	1.9	10	1.1
24	5	1	0	0	10	10	0	10	1
24	5	2	8.5	19	6	10	1.9	10	1
24	6	1	0	0	10	10	0	10	1
24	6	2	5	11	7	10	1.1	10	1
24	7	1	0	0	10	10	0	10	1
24	7	2	11	30	5	10	3	10	1
24	8	1	0	0	10	10	0	10	1.2
24	8	2	11	30	5	10	3	10	1.1
24	9	1	3.5	5	8	10	0.5	10	1.1
24	9	2	11	30	5	10	3	10	1.2
24	10	1	6	13	7	10	1.3	10	1
24	10	2	13.5	40	4	10	4	10	1.1
25	1	1	0	0	10	10	0	10	1
25	1	2	7.5	29	4	10	3	10	1.1
25	2	1	0	0	10	10	0	10	1.1
25	2	2	10	32	3	10	3.3	10	1
25	3	1	0	0	10	10	0	10	1.1
25	3	2	10	32	3	10	3.3	10	1.1
25	4	1	1.5	3	8	10	0.3	10	1
25	4	2	7.5	20	4	10	2.1	10	1.4
25	5	1	1.5	3	8	10	0.3	10	1
25	5	2	5	18	5	10	1.9	10	1.2
25	6	1	2.5	5	6	10	0.6	10	1.1
25	6	2	8	29	4	10	3	10	1.1
25	7	1	3.5	7	5	10	0.8	10	1.1
25	7	2	9	36	4	10	3.7	10	1.1
25	8	1	3.5	7	5	10	0.8	10	1.3
25	8	2	8	31	4	10	3.2	10	1.2
25	9	1	6	13	4	10	1.4	10	1.2
25	9	2	10.5	47	3	10	4.8	10	1.3
25	10	1	7.5	29	4	10	3	10	1.1
25	10	2	17	58	1	10	5.9	10	1.2
26	1	1	0	0	9	9	0	9	1
26	1	2	3.5	5	7	9	0.5555555556	9	1
26	2	1	0	0	9	9	0	9	1
26	2	2	3.5	5	7	9	0.5555555556	9	1
26	3	1	0	0	9	9	0	9	1
26	3	2	3.5	5	7	9	0.5555555556	9	1
26	4	1	0	0	9	9	0	9	1
26	4	2	3.5	5	7	9	0.5555555556	9	1.1
26	5	1	0	0	9	9	0	9	1
26	5	2	9	12	5	9	1.333333333	9	1
26	6	1	0	0	9	9	0	9	1.1
26	6	2	9	12	5	9	1.333333333	9	1.2
26	7	1	3.5	5	7	9	0.5555555556	9	1
26	7	2	19.5	36	1	9	4	9	1
26	8	1	3.5	5	7	9	0.5555555556	9	1
26	8	2	20	47	1	9	5.222222222	9	1.3
26	9	1	3.5	5	7	9	0.5555555556	9	1
26	9	2	20.5	50	1	9	5.444444444	9	1.3
26	10	1	3.5	5	7	9	0.5555555556	9	1
26	10	2	22.5	56	0	9	6.222222222	9	1.1
27	1	1	0	0	10	10	0	10	1
27	1	2	7	22	5	10	2.2	10	1.2
27	2	1	0	0	10	10	0	10	1
27	2	2	7	22	5	10	2.2	10	1.2
27	3	1	0	0	10	10	0	10	1
27	3	2	7	21	5	10	2.1	10	1.3
27	4	1	0	0	10	10	0	10	1
27	4	2	7	21	5	10	2.1	10	1.1
27	5	1	0	0	10	10	0	10	1.1
27	5	2	7	22	5	10	2.2	10	1
27	6	1	1.5	3	8	10	0.3	10	1
27	6	2	13	36	4	10	3.6	10	1.2
